split,scope,horizon_half_hours,horizon_hours,method,n,mae,rmse,bias,mae_skill_vs_daily_seasonal
validation,horizon,23,11.5,Persistence,8578,35.959197948239684,46.12998502892608,-0.17486593611564466,0.13118988268762233
validation,horizon,23,11.5,DailySeasonal,8578,41.389018419211936,54.416623567566994,0.009675915131732339,0.0
validation,horizon,23,11.5,WeeklySeasonal,8578,60.34297038936815,75.2646934040825,-1.4105852179995337,-0.4579463996507387
validation,horizon,23,11.5,Climatology,8578,61.69354365944871,72.46110798955516,44.06747244479302,-0.4905775980135789
validation,horizon,23,11.5,HistGradientBoosting,8578,37.136424856608116,46.0736765288911,18.643100956638314,0.10274690546006893
validation,horizon,23,11.5,RandomForest,8578,38.890352282719405,47.754718680496005,20.246438950082883,0.06037026805479162
validation,horizon,23,11.5,ValidationSelectedBaseline,8578,35.959197948239684,46.12998502892608,-0.17486593611564466,0.13118988268762233
validation,horizon,24,12.0,Persistence,8578,36.47050594544183,46.80073393298324,-0.16903707157845652,0.11888084314172809
validation,horizon,24,12.0,DailySeasonal,8578,41.391116810445325,54.41708630461474,0.007577523898344603,0.0
validation,horizon,24,12.0,WeeklySeasonal,8578,60.342387502914434,75.26446494136373,-1.4037071578456517,-0.45785840423824054
validation,horizon,24,12.0,Climatology,8578,61.690514981435186,72.4581252734839,44.064443766779505,-0.4904288585387282
validation,horizon,24,12.0,HistGradientBoosting,8578,38.275180480563485,47.42083485220933,20.11533488676341,0.07528031543945957
validation,horizon,24,12.0,RandomForest,8578,39.548923242767614,48.529873052185295,20.556405312607566,0.044506979024369286
validation,horizon,24,12.0,ValidationSelectedBaseline,8578,36.47050594544183,46.80073393298324,-0.16903707157845652,0.11888084314172809
validation,horizon,25,12.5,Persistence,8578,37.080671485194685,47.63531853497139,-0.16344136162275588,0.10416461304050262
validation,horizon,25,12.5,DailySeasonal,8578,41.39228258335276,54.41749333857975,0.006411750990906971,0.0
validation,horizon,25,12.5,WeeklySeasonal,8578,60.34052226626253,75.26369668198176,-1.3964793658195382,-0.4577722826653299
validation,horizon,25,12.5,Climatology,8578,61.68831283641305,72.45612803778313,44.06224162175735,-0.49033368025040946
validation,horizon,25,12.5,HistGradientBoosting,8578,38.21397275166969,47.41947363237317,18.9665131025926,0.07678508246755478
validation,horizon,25,12.5,RandomForest,8578,40.01245974456459,49.09396434287051,20.58505372092634,0.03333526813868226
validation,horizon,25,12.5,ValidationSelectedBaseline,8578,37.080671485194685,47.63531853497139,-0.16344136162275588,0.10416461304050262
validation,horizon,26,13.0,Persistence,8578,37.80776404756354,48.62283049766885,-0.15749591979482397,0.08659871628415228
validation,horizon,26,13.0,DailySeasonal,8578,41.39228258335276,54.41749333857975,0.006411750990906971,0.0
validation,horizon,26,13.0,WeeklySeasonal,8578,60.33784098857542,75.26239635413022,-1.3879692235952437,-0.45770750542861416
validation,horizon,26,13.0,Climatology,8578,61.68732542676045,72.45529844740425,44.06125421210476,-0.49030982532888867
validation,horizon,26,13.0,HistGradientBoosting,8578,39.02409425600094,48.62009921451088,19.810311337121316,0.05721328178949614
validation,horizon,26,13.0,RandomForest,8578,41.08344979846641,50.461235968526275,21.19946971644242,0.007461119938588667
validation,horizon,26,13.0,ValidationSelectedBaseline,8578,37.80776404756354,48.62283049766885,-0.15749591979482397,0.08659871628415228
validation,horizon,27,13.5,Persistence,8578,38.65714618792259,49.728909538882135,-0.14956866402424807,0.06606263219708386
validation,horizon,27,13.5,DailySeasonal,8578,41.3915831196083,54.417133435019174,0.00711121473536955,0.0
validation,horizon,27,13.5,WeeklySeasonal,8578,60.333527628817905,75.2600752246889,-1.378526463044999,-0.4576279301633259
validation,horizon,27,13.5,Climatology,8578,61.68731376903136,72.45528932302174,44.061242554375674,-0.49033472797537025
validation,horizon,27,13.5,HistGradientBoosting,8578,40.50344732076179,50.298827386357765,20.466679581741598,0.021456917854049684
validation,horizon,27,13.5,RandomForest,8578,41.46726509506851,50.778123791070165,21.284738672062016,-0.0018284387732045992
validation,horizon,27,13.5,ValidationSelectedBaseline,8578,38.65714618792259,49.728909538882135,-0.14956866402424807,0.06606263219708386
validation,horizon,28,14.0,Persistence,8578,39.59664257402658,50.91701860739396,-0.14129167638144088,0.04335139641517283
validation,horizon,28,14.0,DailySeasonal,8578,41.39100023315458,54.416817446299746,0.007694101189088366,0.0
validation,horizon,28,14.0,WeeklySeasonal,8578,60.32781534157146,75.25684937871029,-1.368617393331779,-0.45751044917364214
validation,horizon,28,14.0,Climatology,8578,61.68736156572057,72.45532590509539,44.06129035106488,-0.49035687029153796
validation,horizon,28,14.0,HistGradientBoosting,8578,40.973038184444235,50.62406459841304,21.284737111755387,0.0100978967977573
validation,horizon,28,14.0,RandomForest,8578,41.76540663357562,51.07816499529874,21.623186933868904,-0.009045599244087432
validation,horizon,28,14.0,ValidationSelectedBaseline,8578,39.59664257402658,50.91701860739396,-0.14129167638144088,0.04335139641517283
validation,horizon,29,14.5,Persistence,8578,40.54313359757519,52.13420344684545,-0.13581254371648402,0.020470529253873493
validation,horizon,29,14.5,DailySeasonal,8578,41.390417346700865,54.416512167319674,0.008276987642807182,0.0
validation,horizon,29,14.5,WeeklySeasonal,8578,60.3215201678713,75.25300141807946,-1.3578922825833528,-0.4573788822324931
validation,horizon,29,14.5,Climatology,8578,61.68742568323047,72.4553754652881,44.06135446857479,-0.4903794075453418
validation,horizon,29,14.5,HistGradientBoosting,8578,40.8549396203371,50.430796643067225,21.0928906674539,0.012937239116929233
validation,horizon,29,14.5,RandomForest,8578,42.18553982948478,51.62265460927011,22.117323495589755,-0.019210303586061572
validation,horizon,29,14.5,ValidationSelectedBaseline,8578,40.54313359757519,52.13420344684545,-0.13581254371648402,0.020470529253873493
validation,horizon,30,15.0,Persistence,8578,41.489391466542315,53.32425871931611,-0.13196549312193984,-0.0023545316284570017
validation,horizon,30,15.0,DailySeasonal,8578,41.39193285148053,54.41716664050688,0.006761482863138261,0.0
validation,horizon,30,15.0,WeeklySeasonal,8578,60.315458148752626,75.24961802443586,-1.3480997901608767,-0.45717906832648003
validation,horizon,30,15.0,Climatology,8578,61.68613109830452,72.45430444471471,44.060059883648826,-0.490293563232288
validation,horizon,30,15.0,HistGradientBoosting,8578,41.75115951860187,51.681017591260975,22.48381877538591,-0.008678663748568738
validation,horizon,30,15.0,RandomForest,8578,43.27573813808805,53.10862583045348,23.506570022315973,-0.04551141144741533
validation,horizon,30,15.0,ValidationSelectedBaseline,8578,41.39193285148053,54.41716664050688,0.006761482863138261,0.0
validation,horizon,31,15.5,Persistence,8578,42.390533923991605,54.43204280338122,-0.12730240149218933,-0.024122615550567383
validation,horizon,31,15.5,DailySeasonal,8578,41.39204942877127,54.417214841985235,0.006644905572394498,0.0
validation,horizon,31,15.5,WeeklySeasonal,8578,60.30904639776172,75.24574103218951,-1.3374912567031942,-0.45702006134157247
validation,horizon,31,15.5,Climatology,8578,61.68494189218409,72.45331963845229,44.0588706775284,-0.49026063564051015
validation,horizon,31,15.5,HistGradientBoosting,8578,41.4996344632913,51.20798997346467,21.59084097396507,-0.002599171483527618
validation,horizon,31,15.5,RandomForest,8578,45.08098031136752,55.058574266588764,25.311162803433863,-0.08912172587502032
validation,horizon,31,15.5,ValidationSelectedBaseline,8578,41.39204942877127,54.417214841985235,0.006644905572394498,0.0
validation,horizon,32,16.0,Persistence,8579,43.20526867933326,55.41654826966211,-0.12961883669425342,-0.043801252590790485
validation,horizon,32,16.0,DailySeasonal,8579,41.39223685744259,54.41644345326459,0.0016318918288844855,0.0
validation,horizon,32,16.0,WeeklySeasonal,8579,60.310176011190116,75.25035574112194,-1.3422310292574893,-0.4570407542579076
validation,horizon,32,16.0,Climatology,8579,61.67539875213772,72.44696670549988,44.050816940252304,-0.49002333371234763
validation,horizon,32,16.0,HistGradientBoosting,8579,43.249609402933,53.593853378412554,23.92998778614953,-0.044872485434583
validation,horizon,32,16.0,RandomForest,8579,45.175185042468954,54.81192318812439,24.940794315125313,-0.0913926975740662
validation,horizon,32,16.0,ValidationSelectedBaseline,8579,41.39223685744259,54.41644345326459,0.0016318918288844855,0.0
validation,horizon,33,16.5,Persistence,8580,43.84428904428904,56.23994341596758,-0.13263403263403264,-0.05925550487131814
validation,horizon,33,16.5,DailySeasonal,8580,41.39160839160839,54.41528134469989,-0.002564102564102564,0.0
validation,horizon,33,16.5,WeeklySeasonal,8580,60.31060606060606,75.25457880887801,-1.3472027972027971,-0.45707326688066674
validation,horizon,33,16.5,Climatology,8580,61.664938668225794,72.43990946565265,44.04202871902242,-0.48979324709516603
validation,horizon,33,16.5,HistGradientBoosting,8580,44.43205194687544,54.56638652389283,25.03326832172929,-0.07345555472261989
validation,horizon,33,16.5,RandomForest,8580,45.4180011664896,55.37005978873148,25.396979211236886,-0.09727558148471238
validation,horizon,33,16.5,ValidationSelectedBaseline,8580,41.39160839160839,54.41528134469989,-0.002564102564102564,0.0
validation,horizon,34,17.0,Persistence,8581,44.36930427689081,56.87877327338546,-0.1332012585945694,-0.07196191162641408
validation,horizon,34,17.0,DailySeasonal,8581,41.390746999184245,54.41392673245459,-0.0055937536417666935,0.0
validation,horizon,34,17.0,WeeklySeasonal,8581,60.311968302062695,75.25968947610416,-1.3526395524997086,-0.4571365021088254
validation,horizon,34,17.0,Climatology,8581,61.65418836254911,72.43235421422837,44.03276109717619,-0.48956452425862773
validation,horizon,34,17.0,HistGradientBoosting,8581,45.62129171238608,55.85979658493797,26.295441649711904,-0.10220991453198991
validation,horizon,34,17.0,RandomForest,8581,45.94201897135874,55.865103913370724,25.312160863307327,-0.10995868164119371
validation,horizon,34,17.0,ValidationSelectedBaseline,8581,41.390746999184245,54.41392673245459,-0.0055937536417666935,0.0
validation,horizon,35,17.5,Persistence,8582,44.713353530645534,57.328421319050065,-0.1272430668841762,-0.08024491519459498
validation,horizon,35,17.5,DailySeasonal,8582,41.39186669773945,54.412813317157735,-0.007573992076439058,0.0
validation,horizon,35,17.5,WeeklySeasonal,8582,60.31449545560476,75.26459734260052,-1.3569098112328128,-0.45715813920754456
validation,horizon,35,17.5,Climatology,8582,61.643677292105814,72.42469822421982,44.02396075002179,-0.48927028931199135
validation,horizon,35,17.5,HistGradientBoosting,8582,44.18645528421114,54.25120719903211,23.592083922415284,-0.06751540361489217
validation,horizon,35,17.5,RandomForest,8582,46.284019388287504,56.14646109625233,25.511843602747387,-0.11819115881563347
validation,horizon,35,17.5,ValidationSelectedBaseline,8582,41.39186669773945,54.412813317157735,-0.007573992076439058,0.0
validation,horizon,36,18.0,Persistence,8583,44.87696609577071,57.596503520231416,-0.11965513223814517,-0.08415310697729406
validation,horizon,36,18.0,DailySeasonal,8583,41.393568682278925,54.41176758805388,-0.009437259699405802,0.0
validation,horizon,36,18.0,WeeklySeasonal,8583,60.316206454619596,75.26725074893025,-1.3598974717464756,-0.45713955995395184
validation,horizon,36,18.0,Climatology,8583,61.63269381872358,72.41628796879759,44.01503013887214,-0.4889437122900029
validation,horizon,36,18.0,HistGradientBoosting,8583,44.261086332405235,54.43192253607905,24.575800591106077,-0.06927447285679245
validation,horizon,36,18.0,RandomForest,8583,46.297719436335754,56.260582316763134,25.705130049251178,-0.11847615245979881
validation,horizon,36,18.0,ValidationSelectedBaseline,8583,41.393568682278925,54.41176758805388,-0.009437259699405802,0.0
validation,horizon,37,18.5,Persistence,8584,44.869757688723205,57.68992903787588,-0.11206896551724138,-0.08393135549814534
validation,horizon,37,18.5,DailySeasonal,8584,41.39538676607642,54.410688896297,-0.011183597390493943,0.0
validation,horizon,37,18.5,WeeklySeasonal,8584,60.31838303821063,75.26978581765958,-1.3631174277726001,-0.457128142782365
validation,horizon,37,18.5,Climatology,8584,61.619666626145374,72.40563547102941,44.00394582416902,-0.48856361638449
validation,horizon,37,18.5,HistGradientBoosting,8584,44.54484455776989,54.6080022886724,24.775074206821785,-0.07608233761628869
validation,horizon,37,18.5,RandomForest,8584,46.43192675044236,56.29651494466852,25.372932900269337,-0.12166911286098636
validation,horizon,37,18.5,ValidationSelectedBaseline,8584,41.39538676607642,54.410688896297,-0.011183597390493943,0.0
validation,horizon,38,19.0,Persistence,8585,44.72498543972044,57.62505481421508,-0.10343622597553873,-0.08045349534151436
validation,horizon,38,19.0,DailySeasonal,8585,41.39464181712289,54.40847149599035,-0.013628421665695981,0.0
validation,horizon,38,19.0,WeeklySeasonal,8585,60.31986022131625,75.27102960299953,-1.36703552708212,-0.457190051016819
validation,horizon,38,19.0,Climatology,8585,61.60466255280158,72.39213171582978,43.99099366938108,-0.48822794082781074
validation,horizon,38,19.0,HistGradientBoosting,8585,45.042792365392984,55.42607823525067,24.397861931761994,-0.08813098478752956
validation,horizon,38,19.0,RandomForest,8585,46.50129261667074,56.49680557250457,25.84869290943312,-0.12336501961071411
validation,horizon,38,19.0,ValidationSelectedBaseline,8585,41.39464181712289,54.40847149599035,-0.013628421665695981,0.0
validation,horizon,39,19.5,Persistence,8586,44.44793850454228,57.4085789199912,-0.09736780805963195,-0.07381625004220638
validation,horizon,39,19.5,DailySeasonal,8586,41.39249941765665,54.406194581606414,-0.01816911250873515,0.0
validation,horizon,39,19.5,WeeklySeasonal,8586,60.322734684369905,75.27290437318254,-1.3737479617982762,-0.457334916543799
validation,horizon,39,19.5,Climatology,8586,61.58677935135699,72.37576308011954,43.97516190852389,-0.4878729291009214
validation,horizon,39,19.5,HistGradientBoosting,8586,45.713203784889764,56.19964614757993,25.62607756840084,-0.10438375135641231
validation,horizon,39,19.5,RandomForest,8586,45.94824821617343,55.88502487590683,24.996722496243887,-0.1100621818592924
validation,horizon,39,19.5,ValidationSelectedBaseline,8586,41.39249941765665,54.406194581606414,-0.01816911250873515,0.0
validation,horizon,40,20.0,Persistence,8587,44.0507744264586,57.067617246231144,-0.09246535460579947,-0.06423133408734127
validation,horizon,40,20.0,DailySeasonal,8587,41.39210434377547,54.4049145260212,-0.02515430301618726,0.0
validation,horizon,40,20.0,WeeklySeasonal,8587,60.32782112495633,75.27599696523642,-1.3838360312099685,-0.4574717106410755
validation,horizon,40,20.0,Climatology,8587,61.56793303133737,72.3571871030917,43.95686195131349,-0.48743181839692884
validation,horizon,40,20.0,HistGradientBoosting,8587,45.35972677089692,55.31478000250899,24.495016808598628,-0.09585457154265464
validation,horizon,40,20.0,RandomForest,8587,45.819058933939274,55.9864379726844,24.69414544432527,-0.10695166772378717
validation,horizon,40,20.0,ValidationSelectedBaseline,8587,41.39210434377547,54.4049145260212,-0.02515430301618726,0.0
validation,horizon,41,20.5,Persistence,8588,43.57568700512343,56.618453511751916,-0.0903586399627387,-0.05278141931999136
validation,horizon,41,20.5,DailySeasonal,8588,41.39101071262226,54.403938663959245,-0.032603632976245925,0.0
validation,horizon,41,20.5,WeeklySeasonal,8588,60.33232417326502,75.27892242910117,-1.394736842105263,-0.4576190127888462
validation,horizon,41,20.5,Climatology,8588,61.548240150866505,72.33658945354608,43.936963094023824,-0.48699534249588305
validation,horizon,41,20.5,HistGradientBoosting,8588,45.69877175254168,55.81553370530919,25.24434825942348,-0.10407479705746248
validation,horizon,41,20.5,RandomForest,8588,45.68500918939418,55.7815654221538,24.01752327799324,-0.10374229579908412
validation,horizon,41,20.5,ValidationSelectedBaseline,8588,41.39101071262226,54.403938663959245,-0.032603632976245925,0.0
validation,horizon,42,21.0,Persistence,8589,43.03667481662592,56.09564084766012,-0.09151239958085924,-0.03976889148926599
validation,horizon,42,21.0,DailySeasonal,8589,41.39061590406334,54.403022934508165,-0.040516940272441494,0.0
validation,horizon,42,21.0,WeeklySeasonal,8589,60.336011177086974,75.28211233290102,-1.4071486785423215,-0.4577219946892299
validation,horizon,42,21.0,Climatology,8589,61.52803129969534,72.31529184481938,43.91605698788197,-0.4865212791785276
validation,horizon,42,21.0,HistGradientBoosting,8589,45.60672174023515,56.16871566870981,24.829674220865556,-0.10186139404023509
validation,horizon,42,21.0,RandomForest,8589,45.72258329442616,55.80925561539564,24.071359765924292,-0.10466061680269778
validation,horizon,42,21.0,ValidationSelectedBaseline,8589,41.39061590406334,54.403022934508165,-0.040516940272441494,0.0
validation,horizon,43,21.5,Persistence,8590,42.469033760186264,55.5400316041836,-0.09278230500582073,-0.02606731713079502
validation,horizon,43,21.5,DailySeasonal,8590,41.390104772991855,54.401898763343205,-0.04947613504074505,0.0
validation,horizon,43,21.5,WeeklySeasonal,8590,60.33923166472643,75.2848173622141,-1.4193247962747382,-0.4578178044163681
validation,horizon,43,21.5,Climatology,8590,61.50828444974881,72.29478714276772,43.89556647953171,-0.4860625453135987
validation,horizon,43,21.5,HistGradientBoosting,8590,47.51985440464026,58.09138255623777,27.227852880849657,-0.14809698272733618
validation,horizon,43,21.5,RandomForest,8590,45.02239539442332,55.086148803611074,22.972985275419717,-0.08775746380332028
validation,horizon,43,21.5,ValidationSelectedBaseline,8590,41.390104772991855,54.401898763343205,-0.04947613504074505,0.0
