split,window_hours,duration_hours,strategy,n_days,mean_emissions_g_for_1kWh_job,mean_reduction_vs_immediate_g,reduction_vs_immediate_pct,reduction_vs_immediate_ci7d_low_g,reduction_vs_immediate_ci7d_high_g,reduction_vs_immediate_ci1d_low_g,reduction_vs_immediate_ci1d_high_g,reduction_vs_immediate_ci14d_low_g,reduction_vs_immediate_ci14d_high_g,mean_reduction_vs_daily_seasonal_g,reduction_vs_daily_seasonal_pct,reduction_vs_daily_ci7d_low_g,reduction_vs_daily_ci7d_high_g,reduction_vs_daily_ci1d_low_g,reduction_vs_daily_ci1d_high_g,reduction_vs_daily_ci14d_low_g,reduction_vs_daily_ci14d_high_g,oracle_potential_captured,mean_start_delay_hours,median_start_delay_hours,p95_start_delay_hours
test,12,6,Persistence,183,132.76639344262296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.967668488160296,-26.687031259505176,-31.352982695810567,-24.64233834244081,-31.043818306010927,-24.967122040072862,-31.885746812386152,-24.332570582877963,0.0,0.0,0.0,0.0
test,12,6,RandomForest,183,104.44216757741347,28.32422586520947,21.33388211486683,24.798702185792358,31.90621584699454,25.108822859744986,31.61773679417122,24.260894808743174,32.57018442622951,0.3565573770491797,0.34023064422216187,-0.8662112932604739,1.5920878870673933,-0.8925432604735886,1.8120218579234961,-0.9198656648451747,1.499590163934425,0.8766613578385083,3.6475409836065573,3.5,6.0
test,12,6,WeeklySeasonal,183,105.16894353369764,27.597449908925324,20.78647253519919,24.144228142076507,31.085302823315114,24.550500910746813,30.72953096539162,23.448485883424407,31.93908242258652,-0.370218579234973,-0.3532663010889122,-2.0338456284153006,1.1899817850637495,-1.8775387067395268,1.0824339708561013,-1.9831853369763208,1.078460837887065,0.8541669602965428,4.284153005464481,4.5,6.0
test,24,3,Climatology,183,106.01639344262296,45.956284153005456,30.23983315954118,39.147859744990896,52.81076958105646,39.18761384335155,52.678324225865204,37.87609289617487,53.99918032786886,-2.1083788706739517,-2.0290820485401992,-7.445377959927139,2.9664389799635686,-6.849476320582879,2.3880919854280482,-8.1721766848816,3.3706967213114747,0.7215890403123167,11.748633879781421,16.0,17.0
test,24,3,DailySeasonal,183,103.90801457194901,48.06466302367942,31.62717390001558,41.4594034608379,54.47545537340619,41.901593806921674,54.19330601092896,40.92891621129326,55.23096539162113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546940468189165,9.830601092896174,7.5,18.0
test,24,3,HistGradientBoosting,183,99.01183970856101,52.96083788706739,34.84892069085373,46.36764571948998,59.59018670309654,47.21741803278688,58.80535063752276,45.97773224043716,60.38535974499089,4.896174863387979,4.7120281179058825,0.1938979963570125,9.552185792349723,1.159107468123863,8.967372495446265,-0.629417122040071,10.00111566484517,0.8315720230519528,8.48360655737705,6.5,17.5
test,24,3,Immediate,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.06466302367942,-46.256935253438044,-54.47545537340619,-41.459403460837905,-54.193306010928964,-41.901593806921674,-55.23096539162114,-40.92891621129326,0.0,0.0,0.0,0.0
test,24,3,Oracle,183,88.28506375227687,63.68761384335154,41.90727889444224,58.12256375227687,69.37625227686702,58.34057377049181,69.0995218579235,57.42984972677594,69.9936247723133,15.622950819672134,15.035366505684062,12.477163023679418,18.917167577413476,12.362477231329688,19.101252276867026,12.396948998178507,19.003734061930782,1.0,9.754098360655737,7.5,18.0
test,24,3,Persistence,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.06466302367942,-46.256935253438044,-54.47545537340619,-41.459403460837905,-54.193306010928964,-41.901593806921674,-55.23096539162114,-40.92891621129326,0.0,0.0,0.0,0.0
test,24,3,RandomForest,183,101.69945355191257,50.27322404371585,33.08043579878465,43.822928051001824,57.017099271402536,44.74863387978142,55.96452641165756,43.30960837887068,57.67511384335155,2.20856102003643,2.125496314345566,-1.9127049180327866,6.199817850637517,-1.6458561020036433,6.367122040072859,-2.09403460837887,6.553779599271401,0.7893720773927843,8.674863387978142,6.0,18.0
