split,issue_time,window_hours,duration_hours,strategy,start_offset_hours,emissions_g_for_1kWh_job
test,2024-07-03 17:30:00+00:00,24,3,Oracle,18.0,29.333333333333332
test,2024-07-03 17:30:00+00:00,24,3,Persistence,0.0,93.66666666666667
test,2024-07-03 17:30:00+00:00,24,3,DailySeasonal,17.5,29.666666666666668
test,2024-07-03 17:30:00+00:00,24,3,WeeklySeasonal,17.0,30.333333333333332
test,2024-07-03 17:30:00+00:00,24,3,Climatology,5.5,57.0
test,2024-07-03 17:30:00+00:00,24,3,HistGradientBoosting,5.0,56.666666666666664
test,2024-07-03 17:30:00+00:00,24,3,RandomForest,4.0,60.0
test,2024-07-04 17:30:00+00:00,12,1,Immediate,0.0,59.5
test,2024-07-04 17:30:00+00:00,12,1,Oracle,7.0,51.5
test,2024-07-04 17:30:00+00:00,12,1,Persistence,0.0,59.5
test,2024-07-04 17:30:00+00:00,12,1,DailySeasonal,5.5,55.0
test,2024-07-04 17:30:00+00:00,12,1,WeeklySeasonal,7.5,52.5
test,2024-07-04 17:30:00+00:00,12,1,Climatology,7.5,52.5
test,2024-07-04 17:30:00+00:00,12,1,HistGradientBoosting,0.0,59.5
test,2024-07-04 17:30:00+00:00,12,1,RandomForest,0.0,59.5
test,2024-07-04 17:30:00+00:00,12,3,Immediate,0.0,69.0
test,2024-07-04 17:30:00+00:00,12,3,Oracle,5.0,53.5
test,2024-07-04 17:30:00+00:00,12,3,Persistence,0.0,69.0
test,2024-07-04 17:30:00+00:00,12,3,DailySeasonal,5.0,53.5
test,2024-07-04 17:30:00+00:00,12,3,WeeklySeasonal,7.0,54.5
test,2024-07-04 17:30:00+00:00,12,3,Climatology,6.5,54.333333333333336
test,2024-07-04 17:30:00+00:00,12,3,HistGradientBoosting,0.0,69.0
test,2024-07-04 17:30:00+00:00,12,3,RandomForest,0.0,69.0
test,2024-07-04 17:30:00+00:00,12,6,Immediate,0.0,62.666666666666664
test,2024-07-04 17:30:00+00:00,12,6,Oracle,4.0,54.25
test,2024-07-04 17:30:00+00:00,12,6,Persistence,0.0,62.666666666666664
test,2024-07-04 17:30:00+00:00,12,6,DailySeasonal,4.5,54.5
test,2024-07-04 17:30:00+00:00,12,6,WeeklySeasonal,4.0,54.25
test,2024-07-04 17:30:00+00:00,12,6,Climatology,4.5,54.5
test,2024-07-04 17:30:00+00:00,12,6,HistGradientBoosting,0.0,62.666666666666664
test,2024-07-04 17:30:00+00:00,12,6,RandomForest,0.0,62.666666666666664
test,2024-07-04 17:30:00+00:00,6,3,Immediate,0.0,69.0
test,2024-07-04 17:30:00+00:00,6,3,Oracle,3.0,56.333333333333336
test,2024-07-04 17:30:00+00:00,6,3,Persistence,0.0,69.0
test,2024-07-04 17:30:00+00:00,6,3,DailySeasonal,3.0,56.333333333333336
test,2024-07-04 17:30:00+00:00,6,3,WeeklySeasonal,3.0,56.333333333333336
test,2024-07-04 17:30:00+00:00,6,3,Climatology,3.0,56.333333333333336
test,2024-07-04 17:30:00+00:00,6,3,HistGradientBoosting,0.0,69.0
test,2024-07-04 17:30:00+00:00,6,3,RandomForest,0.0,69.0
test,2024-07-04 17:30:00+00:00,24,3,Immediate,0.0,69.0
test,2024-07-04 17:30:00+00:00,24,3,Oracle,5.0,53.5
test,2024-07-04 17:30:00+00:00,24,3,Persistence,0.0,69.0
test,2024-07-04 17:30:00+00:00,24,3,DailySeasonal,18.0,81.5
test,2024-07-04 17:30:00+00:00,24,3,WeeklySeasonal,16.5,69.66666666666667
test,2024-07-04 17:30:00+00:00,24,3,Climatology,17.0,73.33333333333333
test,2024-07-04 17:30:00+00:00,24,3,HistGradientBoosting,0.0,69.0
test,2024-07-04 17:30:00+00:00,24,3,RandomForest,0.0,69.0
test,2024-07-05 17:30:00+00:00,12,1,Immediate,0.0,135.0
test,2024-07-05 17:30:00+00:00,12,1,Oracle,10.0,66.5
test,2024-07-05 17:30:00+00:00,12,1,Persistence,0.0,135.0
test,2024-07-05 17:30:00+00:00,12,1,DailySeasonal,7.0,75.5
test,2024-07-05 17:30:00+00:00,12,1,WeeklySeasonal,11.0,66.5
test,2024-07-05 17:30:00+00:00,12,1,Climatology,7.5,73.5
test,2024-07-05 17:30:00+00:00,12,1,HistGradientBoosting,8.0,71.5
test,2024-07-05 17:30:00+00:00,12,1,RandomForest,6.0,79.5
test,2024-07-05 17:30:00+00:00,12,3,Immediate,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,12,3,Oracle,9.0,67.0
test,2024-07-05 17:30:00+00:00,12,3,Persistence,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,12,3,DailySeasonal,5.0,77.83333333333333
test,2024-07-05 17:30:00+00:00,12,3,WeeklySeasonal,9.0,67.0
test,2024-07-05 17:30:00+00:00,12,3,Climatology,7.0,71.66666666666667
test,2024-07-05 17:30:00+00:00,12,3,HistGradientBoosting,7.0,71.66666666666667
test,2024-07-05 17:30:00+00:00,12,3,RandomForest,4.0,81.66666666666667
test,2024-07-05 17:30:00+00:00,12,6,Immediate,0.0,115.33333333333333
test,2024-07-05 17:30:00+00:00,12,6,Oracle,6.0,71.25
test,2024-07-05 17:30:00+00:00,12,6,Persistence,0.0,115.33333333333333
test,2024-07-05 17:30:00+00:00,12,6,DailySeasonal,4.0,76.66666666666667
test,2024-07-05 17:30:00+00:00,12,6,WeeklySeasonal,6.0,71.25
test,2024-07-05 17:30:00+00:00,12,6,Climatology,6.0,71.25
test,2024-07-05 17:30:00+00:00,12,6,HistGradientBoosting,4.0,76.66666666666667
test,2024-07-05 17:30:00+00:00,12,6,RandomForest,3.0,84.75
test,2024-07-05 17:30:00+00:00,6,3,Immediate,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,6,3,Oracle,3.0,94.0
test,2024-07-05 17:30:00+00:00,6,3,Persistence,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,6,3,DailySeasonal,3.0,94.0
test,2024-07-05 17:30:00+00:00,6,3,WeeklySeasonal,3.0,94.0
test,2024-07-05 17:30:00+00:00,6,3,Climatology,3.0,94.0
test,2024-07-05 17:30:00+00:00,6,3,HistGradientBoosting,3.0,94.0
test,2024-07-05 17:30:00+00:00,6,3,RandomForest,3.0,94.0
test,2024-07-05 17:30:00+00:00,24,3,Immediate,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,24,3,Oracle,19.0,35.166666666666664
test,2024-07-05 17:30:00+00:00,24,3,Persistence,0.0,136.66666666666666
test,2024-07-05 17:30:00+00:00,24,3,DailySeasonal,5.0,77.83333333333333
test,2024-07-05 17:30:00+00:00,24,3,WeeklySeasonal,17.0,38.666666666666664
test,2024-07-05 17:30:00+00:00,24,3,Climatology,17.0,38.666666666666664
test,2024-07-05 17:30:00+00:00,24,3,HistGradientBoosting,15.0,49.666666666666664
test,2024-07-05 17:30:00+00:00,24,3,RandomForest,17.0,38.666666666666664
test,2024-07-06 17:30:00+00:00,12,1,Immediate,0.0,43.5
test,2024-07-06 17:30:00+00:00,12,1,Oracle,0.0,43.5
test,2024-07-06 17:30:00+00:00,12,1,Persistence,0.0,43.5
test,2024-07-06 17:30:00+00:00,12,1,DailySeasonal,10.0,69.5
test,2024-07-06 17:30:00+00:00,12,1,WeeklySeasonal,6.0,59.0
test,2024-07-06 17:30:00+00:00,12,1,Climatology,9.0,68.5
test,2024-07-06 17:30:00+00:00,12,1,HistGradientBoosting,0.0,43.5
test,2024-07-06 17:30:00+00:00,12,1,RandomForest,0.0,43.5
test,2024-07-06 17:30:00+00:00,12,3,Immediate,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,12,3,Oracle,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,12,3,Persistence,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,12,3,DailySeasonal,9.0,71.5
test,2024-07-06 17:30:00+00:00,12,3,WeeklySeasonal,5.0,59.833333333333336
test,2024-07-06 17:30:00+00:00,12,3,Climatology,9.0,71.5
test,2024-07-06 17:30:00+00:00,12,3,HistGradientBoosting,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,12,3,RandomForest,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,12,6,Immediate,0.0,54.333333333333336
test,2024-07-06 17:30:00+00:00,12,6,Oracle,0.0,54.333333333333336
test,2024-07-06 17:30:00+00:00,12,6,Persistence,0.0,54.333333333333336
test,2024-07-06 17:30:00+00:00,12,6,DailySeasonal,6.0,67.91666666666667
test,2024-07-06 17:30:00+00:00,12,6,WeeklySeasonal,5.0,64.41666666666667
test,2024-07-06 17:30:00+00:00,12,6,Climatology,6.0,67.91666666666667
test,2024-07-06 17:30:00+00:00,12,6,HistGradientBoosting,0.0,54.333333333333336
test,2024-07-06 17:30:00+00:00,12,6,RandomForest,0.0,54.333333333333336
test,2024-07-06 17:30:00+00:00,6,3,Immediate,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,Oracle,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,Persistence,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,DailySeasonal,3.0,57.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,WeeklySeasonal,3.0,57.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,Climatology,3.0,57.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,HistGradientBoosting,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,6,3,RandomForest,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,24,3,Immediate,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,24,3,Oracle,17.0,48.5
test,2024-07-06 17:30:00+00:00,24,3,Persistence,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,24,3,DailySeasonal,19.0,65.66666666666667
test,2024-07-06 17:30:00+00:00,24,3,WeeklySeasonal,16.5,49.0
test,2024-07-06 17:30:00+00:00,24,3,Climatology,16.0,50.5
test,2024-07-06 17:30:00+00:00,24,3,HistGradientBoosting,0.0,50.833333333333336
test,2024-07-06 17:30:00+00:00,24,3,RandomForest,0.0,50.833333333333336
test,2024-07-07 17:30:00+00:00,12,1,Immediate,0.0,135.0
test,2024-07-07 17:30:00+00:00,12,1,Oracle,5.0,116.5
test,2024-07-07 17:30:00+00:00,12,1,Persistence,0.0,135.0
test,2024-07-07 17:30:00+00:00,12,1,DailySeasonal,0.0,135.0
test,2024-07-07 17:30:00+00:00,12,1,WeeklySeasonal,7.5,119.5
test,2024-07-07 17:30:00+00:00,12,1,Climatology,5.0,116.5
test,2024-07-07 17:30:00+00:00,12,1,HistGradientBoosting,3.5,128.5
test,2024-07-07 17:30:00+00:00,12,1,RandomForest,4.0,121.5
test,2024-07-07 17:30:00+00:00,12,3,Immediate,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,12,3,Oracle,4.5,118.83333333333333
test,2024-07-07 17:30:00+00:00,12,3,Persistence,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,12,3,DailySeasonal,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,12,3,WeeklySeasonal,7.0,126.66666666666667
test,2024-07-07 17:30:00+00:00,12,3,Climatology,5.0,118.83333333333333
test,2024-07-07 17:30:00+00:00,12,3,HistGradientBoosting,3.5,121.66666666666667
test,2024-07-07 17:30:00+00:00,12,3,RandomForest,4.0,119.5
test,2024-07-07 17:30:00+00:00,12,6,Immediate,0.0,135.25
test,2024-07-07 17:30:00+00:00,12,6,Oracle,3.5,122.0
test,2024-07-07 17:30:00+00:00,12,6,Persistence,0.0,135.25
test,2024-07-07 17:30:00+00:00,12,6,DailySeasonal,0.0,135.25
test,2024-07-07 17:30:00+00:00,12,6,WeeklySeasonal,5.0,132.33333333333334
test,2024-07-07 17:30:00+00:00,12,6,Climatology,4.0,123.08333333333333
test,2024-07-07 17:30:00+00:00,12,6,HistGradientBoosting,3.5,122.0
test,2024-07-07 17:30:00+00:00,12,6,RandomForest,3.0,123.5
test,2024-07-07 17:30:00+00:00,6,3,Immediate,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,6,3,Oracle,3.0,126.16666666666667
test,2024-07-07 17:30:00+00:00,6,3,Persistence,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,6,3,DailySeasonal,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,6,3,WeeklySeasonal,3.0,126.16666666666667
test,2024-07-07 17:30:00+00:00,6,3,Climatology,3.0,126.16666666666667
test,2024-07-07 17:30:00+00:00,6,3,HistGradientBoosting,2.5,132.16666666666666
test,2024-07-07 17:30:00+00:00,6,3,RandomForest,3.0,126.16666666666667
test,2024-07-07 17:30:00+00:00,24,3,Immediate,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,24,3,Oracle,4.5,118.83333333333333
test,2024-07-07 17:30:00+00:00,24,3,Persistence,0.0,144.33333333333334
test,2024-07-07 17:30:00+00:00,24,3,DailySeasonal,17.0,163.66666666666666
test,2024-07-07 17:30:00+00:00,24,3,WeeklySeasonal,18.0,169.5
test,2024-07-07 17:30:00+00:00,24,3,Climatology,5.0,118.83333333333333
test,2024-07-07 17:30:00+00:00,24,3,HistGradientBoosting,3.5,121.66666666666667
test,2024-07-07 17:30:00+00:00,24,3,RandomForest,4.0,119.5
test,2024-07-08 17:30:00+00:00,12,1,Immediate,0.0,212.0
test,2024-07-08 17:30:00+00:00,12,1,Oracle,10.0,57.0
test,2024-07-08 17:30:00+00:00,12,1,Persistence,0.0,212.0
test,2024-07-08 17:30:00+00:00,12,1,DailySeasonal,5.0,83.5
